    0.8741342926E+02 0.7466978580E-01   -0.1027640686E+03 0.1155414507E+00    0.5656699538E+00 0.2071193606E-01   -0.7815360427E+00 0.2064301260E-01   -0.6404911727E-01 0.2041409165E-01   -0.1294609457E+00 0.2047628164E-01    0.5111128330E+01 0.5599119663E+00   -0.1079153252E+02 0.3524081111E+00   -0.3422652245E+01 0.1633313596E+00    0.1910230255E+02 0.1053834781E+00
    0.8212768555E+02 0.0000000000E+00   -0.9616681671E+02 0.0000000000E+00    0.6377687454E+00 0.0000000000E+00   -0.5763247609E+00 0.0000000000E+00    0.3982835333E-03 0.0000000000E+00   -0.6119239703E-01 0.0000000000E+00   -0.5470362186E+01 0.0000000000E+00   -0.2214519978E+01 0.0000000000E+00   -0.1384313941E+01 0.0000000000E+00    0.1582311249E+02 0.0000000000E+00
    0.8204267120E+02 0.0000000000E+00   -0.9608185577E+02 0.0000000000E+00    0.6362259984E+00 0.0000000000E+00   -0.5710788369E+00 0.0000000000E+00    0.1755266916E-02 0.0000000000E+00   -0.5968341231E-01 0.0000000000E+00   -0.5548344612E+01 0.0000000000E+00   -0.1873952031E+01 0.0000000000E+00   -0.1377002239E+01 0.0000000000E+00    0.1573199177E+02 0.0000000000E+00
    0.8202477264E+02 0.0000000000E+00   -0.9614559937E+02 0.0000000000E+00    0.6342999339E+00 0.0000000000E+00   -0.5680062175E+00 0.0000000000E+00    0.2647780115E-02 0.0000000000E+00   -0.5900888517E-01 0.0000000000E+00   -0.5613296032E+01 0.0000000000E+00   -0.1771073461E+01 0.0000000000E+00   -0.1362083316E+01 0.0000000000E+00    0.1572329712E+02 0.0000000000E+00
    0.8133823395E+02 0.0000000000E+00   -0.9422966766E+02 0.0000000000E+00    0.6411039233E+00 0.0000000000E+00   -0.5607890487E+00 0.0000000000E+00    0.3855432384E-02 0.0000000000E+00   -0.5722407624E-01 0.0000000000E+00   -0.5050946236E+01 0.0000000000E+00   -0.9845049977E+00 0.0000000000E+00   -0.1603404760E+01 0.0000000000E+00    0.1536456013E+02 0.0000000000E+00
    0.8172870636E+02 0.0000000000E+00   -0.9529723358E+02 0.0000000000E+00    0.6383108497E+00 0.0000000000E+00   -0.5639683008E+00 0.0000000000E+00    0.3249153495E-02 0.0000000000E+00   -0.5798328668E-01 0.0000000000E+00   -0.5296355724E+01 0.0000000000E+00   -0.1354210734E+01 0.0000000000E+00   -0.1502591848E+01 0.0000000000E+00    0.1552609253E+02 0.0000000000E+00
    0.8196733856E+02 0.0000000000E+00   -0.9589643097E+02 0.0000000000E+00    0.6368717551E+00 0.0000000000E+00   -0.5692436695E+00 0.0000000000E+00    0.2138937125E-02 0.0000000000E+00   -0.5926033482E-01 0.0000000000E+00   -0.5477799416E+01 0.0000000000E+00   -0.1738867521E+01 0.0000000000E+00   -0.1411705732E+01 0.0000000000E+00    0.1567751026E+02 0.0000000000E+00
    0.8184009552E+02 0.0000000000E+00   -0.9535306549E+02 0.0000000000E+00    0.6420742273E+00 0.0000000000E+00   -0.5744611025E+00 0.0000000000E+00    0.4445831291E-03 0.0000000000E+00   -0.6186858192E-01 0.0000000000E+00   -0.5029285431E+01 0.0000000000E+00   -0.2028707743E+01 0.0000000000E+00   -0.1552868843E+01 0.0000000000E+00    0.1570013332E+02 0.0000000000E+00
    0.8277850342E+02 0.0000000000E+00   -0.9716805267E+02 0.0000000000E+00    0.6423593163E+00 0.0000000000E+00   -0.6101484299E+00 0.0000000000E+00   -0.1019716170E-01 0.0000000000E+00   -0.8252251893E-01 0.0000000000E+00   -0.4033244133E+01 0.0000000000E+00   -0.6530243397E+01 0.0000000000E+00   -0.1694963217E+01 0.0000000000E+00    0.1711391258E+02 0.0000000000E+00
    0.8148274231E+02 0.0000000000E+00   -0.9460042572E+02 0.0000000000E+00    0.6408883929E+00 0.0000000000E+00   -0.5628388524E+00 0.0000000000E+00    0.3372894367E-02 0.0000000000E+00   -0.5783687159E-01 0.0000000000E+00   -0.5091368198E+01 0.0000000000E+00   -0.1132511139E+01 0.0000000000E+00   -0.1580446839E+01 0.0000000000E+00    0.1541784096E+02 0.0000000000E+00
    0.8193372345E+02 0.0000000000E+00   -0.9571453094E+02 0.0000000000E+00    0.6390630603E+00 0.0000000000E+00   -0.5716025829E+00 0.0000000000E+00    0.1416452229E-02 0.0000000000E+00   -0.6007728353E-01 0.0000000000E+00   -0.5323738098E+01 0.0000000000E+00   -0.1834086895E+01 0.0000000000E+00   -0.1459064484E+01 0.0000000000E+00    0.1567880821E+02 0.0000000000E+00
