Model	rate	intercept	365	182	offset
FL	data.in                     -0.276 +/-      0.144      4.987 +/-      0.017      2.917 +/-      0.030     -0.003 +/-      0.030      0.016 +/-      0.022      1.525 +/-      0.022      5.194 +/-      0.159
RW	data.in                     -0.448 +/-      0.229      5.001 +/-      0.204      2.918 +/-      0.047      0.001 +/-      0.047      0.016 +/-      0.024      1.526 +/-      0.025      5.038 +/-      0.225
PL	data.in                     -0.438 +/-      0.224      4.997 +/-      0.132      2.918 +/-      0.042      0.001 +/-      0.043      0.016 +/-      0.024      1.526 +/-      0.024      5.070 +/-      0.222
FLRW	data.in                     -0.445 +/-      0.227      5.000 +/-      0.187      2.918 +/-      0.044      0.001 +/-      0.044      0.016 +/-      0.024      1.526 +/-      0.024      5.051 +/-      0.223
FOGM	data.in                     -0.154 +/-      0.340      4.995 +/-      0.031      2.917 +/-      0.048      0.001 +/-      0.048      0.016 +/-      0.025      1.526 +/-      0.025      5.060 +/-      0.216
GM	data.in                     -0.162 +/-      0.366      4.994 +/-      0.033      2.917 +/-      0.045      0.001 +/-      0.045      0.016 +/-      0.025      1.526 +/-      0.025      5.072 +/-      0.216
BP1	data.in                     -0.429 +/-      0.224      4.997 +/-      0.164      2.918 +/-      0.039      0.000 +/-      0.040      0.016 +/-      0.024      1.526 +/-      0.024      5.081 +/-      0.222
BP2	data.in                     -0.448 +/-      0.229      5.000 +/-      0.200      2.918 +/-      0.046      0.001 +/-      0.046      0.016 +/-      0.025      1.526 +/-      0.025      5.036 +/-      0.225
BP3	data.in                     -0.448 +/-      0.230      5.001 +/-      0.206      2.918 +/-      0.047      0.001 +/-      0.047      0.016 +/-      0.025      1.526 +/-      0.025      5.039 +/-      0.226
BP4	data.in                     -0.448 +/-      0.230      5.001 +/-      0.205      2.918 +/-      0.047      0.001 +/-      0.047      0.016 +/-      0.025      1.526 +/-      0.025      5.039 +/-      0.226
PLBP1	data.in                     -0.429 +/-      0.223      4.997 +/-      0.175      2.918 +/-      0.039      0.000 +/-      0.039      0.016 +/-      0.024      1.526 +/-      0.024      5.079 +/-      0.221
PLBP2	data.in                     -0.437 +/-      0.224      4.996 +/-      0.121      2.918 +/-      0.042      0.001 +/-      0.042      0.016 +/-      0.025      1.526 +/-      0.025      5.075 +/-      0.222
PLBP3	data.in                     -0.438 +/-      0.224      4.997 +/-      0.129      2.918 +/-      0.042      0.001 +/-      0.043      0.016 +/-      0.024      1.526 +/-      0.024      5.072 +/-      0.222
PLBP4	data.in                     -0.437 +/-      0.224      4.997 +/-      0.130      2.918 +/-      0.042      0.001 +/-      0.043      0.016 +/-      0.024      1.526 +/-      0.024      5.072 +/-      0.222
