Model  MLE  AIC BIC  sig plexp1 plamp1 GMrad plexp2 plamp2 poles BPamp
FL -7674.61 15375.2 15461.7 0.634 1.00 1.28 0.000 2.00 0.00 1 0.00 f
RW -7685.66 15397.3 15483.8 0.873 2.00 1.06 0.000 2.00 0.00 1 0.00 f
PL -7667.68 15363.4 15456.5 0.766 1.36 1.19 0.000 2.00 0.00 1 0.00 f
FLRW -7663.59 15355.2 15448.3 0.722 1.00 0.78 0.000 2.00 0.46 1 0.00 f
FOGM -7678.61 15385.2 15478.3 0.871 2.00 1.11 2.017 2.00 0.00 1 0.00 f
GM -7666.13 15362.3 15462.0 0.775 1.39 1.17 0.652 2.00 0.00 1 0.00 f
BP1 -7674.62 15377.2 15470.3 0.637 1.00 1.27 0.000 2.00 0.00 1 0.000 f
BP2 -7674.61 15377.2 15470.3 0.634 1.00 1.28 0.000 2.00 0.00 2 0.000 f
BP3 -7674.36 15376.7 15469.8 0.633 1.00 1.28 0.000 2.00 0.00 3 0.028 f
BP4 -7674.50 15377.0 15470.1 0.636 1.00 1.27 0.000 2.00 0.00 4 0.017 f
PLBP1 -7667.70 15365.4 15465.1 0.767 1.36 1.18 0.000 2.00 0.00 1 0.000 f
PLBP2 -7667.70 15365.4 15465.2 0.767 1.35 1.17 0.000 2.00 0.00 2 0.001 f
PLBP3 -7667.60 15365.2 15465.0 0.765 1.35 1.18 0.000 2.00 0.00 3 0.010 f
PLBP4 -7667.54 15365.1 15464.8 0.767 1.35 1.18 0.000 2.00 0.00 4 0.016 f
PLBPGM -7666.01 15364.0 15470.4 0.773 1.39 1.18 0.614 2.00 0.00 4 0.02 f
