Model  MLE  AIC BIC  sig plexp1 plamp1 GMrad plexp2 plamp2 poles BPamp
FL f -7674.62 15375.2 15461.7 0.62 1.00 1.32 0.000 2.00 0.00 1 0.00
RW f -7685.94 15397.9 15484.3 0.87 2.00 1.06 0.000 2.00 0.00 1 0.00
PL f -7667.73 15363.5 15456.6 0.77 1.37 1.16 0.000 2.00 0.00 1 0.00
FLRW f -7661.85 15351.7 15444.8 0.69 1.00 0.93 0.000 2.00 0.37 1 0.00
BP1 f -7674.55 15377.1 15470.2 0.63 1.00 1.29 0.000 2.00 0.00 1 0.000
BP2 f -7674.49 15377.0 15470.1 0.64 1.00 1.26 0.000 2.00 0.00 2 0.000
BP3 f -7674.24 15376.5 15469.6 0.64 1.00 1.25 0.000 2.00 0.00 3 0.023
BP4 f -7674.38 15376.8 15469.9 0.63 1.00 1.29 0.000 2.00 0.00 4 0.018
FLRWBP1 f -7661.14 15352.3 15452.0 0.73 1.00 0.77 0.000 2.00 0.44 1 0.001
FLRWBP2 f -7660.90 15351.8 15451.6 0.73 1.00 0.76 0.000 2.00 0.44 2 0.001
FLRWBP3 f -7660.72 15351.4 15451.2 0.73 1.00 0.73 0.000 2.00 0.45 3 0.014
FLRWBP4 f -7660.66 15351.3 15451.1 0.73 1.00 0.73 0.000 2.00 0.46 4 0.021
