Model  MLE  AIC BIC  sig plexp1 plamp1 GMrad plexp2 plamp2 poles BPamp
FL -4481.12 8982.2 9046.1 0.000 1.00 2.95 0.000 2.00 0.00 1 0.00
RW -4077.63 8175.3 8239.1 0.416 2.00 3.80 0.000 2.00 0.00 1 0.00
PL -4077.53 8177.1 8247.3 0.413 1.98 3.78 0.000 2.00 0.00 1 0.00
FLRW -4077.29 8176.6 8246.8 0.399 1.00 0.12 0.000 2.00 3.63 1 0.00
FOGM -4077.16 8176.3 8246.5 0.416 2.00 3.82 0.170 2.00 0.00 1 0.00
GM -4077.13 8178.3 8254.8 0.415 1.99 3.78 0.156 2.00 0.00 1 0.00
BP1 -4077.66 8177.3 8247.5 0.417 2.00 3.73 0.000 2.00 0.00 1 0.018
BP2 -4077.62 8177.2 8247.4 0.416 2.00 3.83 0.000 2.00 0.00 2 0.000
BP3 -4077.62 8177.2 8247.4 0.416 2.00 3.81 0.000 2.00 0.00 3 0.000
BP4 -4077.63 8177.3 8247.4 0.416 2.00 3.82 0.000 2.00 0.00 4 0.002
FLRWBP1 -4077.33 8178.7 8255.2 0.398 1.00 0.14 0.000 2.00 3.57 1 0.000
FLRWBP2 -4077.30 8178.6 8255.2 0.399 1.00 0.13 0.000 2.00 3.59 2 0.000
FLRWBP3 -4077.31 8178.6 8255.2 0.396 1.00 0.14 0.000 2.00 3.59 3 0.002
FLRWBP4 -4077.30 8178.6 8255.2 0.402 1.00 0.11 0.000 2.00 3.62 4 0.001
